title,release,day_audience,total_audience,screen,Nationality,distributor,grade,genre,director,actor,date,day,weekday,holiday,SF,가족,공포(호러),기타,다큐멘터리,드라마,멜로/로맨스,뮤지컬,미스터리,범죄,사극,서부극(웨스턴),성인물(에로),스릴러,애니메이션,액션,어드벤처,전쟁,코미디,판타지,12세이상관람가,청소년관람불가,전체관람가,15세이상관람가
7년의밤,2018-03-28,2787,519115,872,한국,씨제이이앤엠(주),15세이상관람가,"스릴러,드라마",추창민,"류승룡,장동건,송새벽,고경표,이레,탕준상,이상희,문정희",2018-04-10,14,화요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7번방의선물,2013-01-23,194250,4586000,605,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이환경,"류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수",2013-02-05,14,화요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7번째아들,2015-02-11,234,90273,343,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,"어드벤처,가족,판타지",세르게이보드로프,"제프브리지스,줄리안무어,벤반스",2015-02-24,14,화요일,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7호실,2017-11-15,3210,341626,629,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,이용승,"신하균,도경수,김동영,김종수,김종구,박수영,전석호,황정민,정희태,김도윤,정승길,박소영,조민성,윤세현,이광기,이재혁,김성종",2017-11-28,14,화요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8인최후의결사단,2010-01-21,1034,114929,153,중국,씨제이엔터테인먼트,15세이상관람가,"액션,사극",진덕삼,"견자단,사정봉,양가휘,여명,판빙빙",2010-02-03,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9나인,2009-09-09,1235,93056,172,미국,에스케이텔레콤(주),12세이상관람가,"애니메이션,액션,스릴러,미스터리,어드벤처,판타지,SF",쉐인액커,"일라이저우드,존C.레일리,제니퍼코넬리",2009-09-22,14,화요일,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
가디언의전설,2010-10-28,1373,255642,233,미국,워너브러더스코리아(주),전체관람가,"애니메이션,어드벤처,판타지",잭스나이더,"휴고위빙,짐스터게스,라이언콴튼",2010-11-10,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
가디언즈,2012-11-29,20602,725349,337,미국,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처",피터램지,"크리스파인,알렉볼드윈,휴잭맨,주드로,아일라피셔,다코타고요,이제훈,류승룡,유해진,이종혁,한혜진",2012-12-12,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
가디언즈오브갤럭시,2014-07-31,13669,1125420,497,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,SF",제임스건,"크리스프랫,조샐다나,데이브바티스타,빈디젤,브래들리쿠퍼",2014-08-13,14,수요일,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
가디언즈오브갤럭시VOL.2,2017-05-03,31765,2495390,1166,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,"액션,SF",제임스건,"크리스프랫,조샐다나,데이브바티스타,빈디젤,브래들리쿠퍼",2017-05-16,14,화요일,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
가려진시간,2016-11-16,7306,502419,884,한국,(주)쇼박스,12세이상관람가,"드라마,판타지",엄태화,"강동원,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김동현,김예지,이영상,조슬예,고민우",2016-11-29,14,화요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
